blue_gold,blue_dragons,blue_towers_destroyed,blue_kills,blue_total_level,red_gold,red_dragons,red_towers_destroyed,red_kills,red_total_level,game_duration,win
30012,0,1,12,49,33349,2,2,14,51,1008,0
22617,0,0,4,43,35890,0,6,24,49,911,0
39688,1,5,19,56,33271,2,1,9,55,1187,1
24137,0,0,5,44,33559,1,4,15,50,958,0
59750,1,4,34,72,59744,3,7,31,72,1751,0
33529,1,2,19,49,24557,0,0,7,44,932,1
70995,2,9,33,79,62390,2,3,28,76,1941,1
48662,1,3,17,66,55588,3,7,31,69,1710,0
59107,1,11,27,72,44729,2,2,13,64,1538,1
48373,0,2,18,67,61363,3,8,29,74,1587,0
2505,0,0,0,5,2500,0,0,0,5,105,1
25847,0,1,7,44,33233,1,3,22,48,918,0
48190,0,6,19,67,40474,1,4,10,59,1362,1
47894,1,4,24,66,41388,2,2,15,64,1364,1
48547,0,1,26,65,60358,3,8,39,73,1591,0
37536,1,3,29,53,28269,0,0,13,46,943,1
37068,1,2,14,56,42250,2,4,21,59,1248,0
57152,1,2,10,75,73109,4,11,27,83,1959,0
42958,1,3,12,60,53114,1,9,34,69,1470,0
68977,2,7,26,81,72320,3,9,40,84,2116,0
36531,1,3,23,52,27195,0,0,12,45,972,1
29484,1,2,12,49,25477,1,0,6,47,919,1
41151,0,0,18,64,55344,3,10,30,72,1448,0
33109,1,4,17,50,21865,0,1,4,42,914,1
23369,0,0,3,45,33731,1,5,17,51,923,0
67864,2,7,42,80,62538,2,5,27,76,1950,1
65413,3,9,38,79,58593,1,1,26,75,1839,1
66078,1,1,29,84,79839,4,11,47,87,2140,0
14591,0,0,7,31,10089,0,0,1,26,481,1
42025,1,8,21,57,33732,0,1,12,50,1141,1
38997,0,1,12,57,48055,2,4,27,64,1395,0
32850,1,3,15,52,27047,0,0,9,48,970,1
45692,1,4,19,62,56942,2,10,34,73,1493,0
45684,0,6,19,61,33322,2,0,7,56,1266,1
66778,3,8,38,81,61425,1,6,23,73,1903,1
30698,1,2,14,49,23963,0,0,5,47,954,1
37397,0,6,26,50,22201,0,0,4,44,922,1
56526,2,11,30,74,43571,1,0,14,66,1525,1
66478,1,7,23,83,62502,3,4,15,79,2087,1
42311,2,1,10,66,56324,2,11,26,74,1558,0
35068,0,4,17,50,27604,1,0,12,45,956,1
51293,0,4,29,64,54810,3,8,24,69,1625,0
64073,2,7,37,76,51510,2,3,27,69,1743,1
55185,1,8,30,69,45941,2,3,18,63,1593,1
48256,0,2,47,69,42098,0,1,29,64,736,1
41583,0,0,30,61,49627,0,4,39,66,718,0
34243,2,4,15,51,26905,0,0,9,47,951,1
42392,1,4,30,55,32078,0,0,13,49,1138,1
42021,1,4,26,60,37937,1,2,23,53,1225,1
33737,0,1,14,50,40280,2,5,21,55,1100,0
46841,2,3,21,64,55511,1,8,22,71,1606,0
78785,3,11,41,86,72509,1,3,36,83,2123,1
49165,2,3,28,63,60131,1,8,35,73,1630,0
61166,0,2,22,78,74544,4,11,43,86,2033,0
